"Key","Context","EN"
"VROptions.AutoGraphics_TOOLTIP","","Automatically determine the best graphics settings for VR based on current hardware and framerate"
"VROptions.EnableSeatedMode","","Seated Mode"
"VROptions.EnableSeatedMode_TOOLTIP","","Enable seated mode play experience"
"VROptions.GameViewQuality","","View Quality"
"VROptions.GameViewQuality_TOOLTIP","","VR view quality - Adaptive reacts to frame rate changes by dynamically re-sampling output"
"VROptions.AutoHideGUI","","Auto-hide GUI"
"VROptions.AutoHideGUI_TOOLTIP","","Hides the desktop user interface after the specified time period"
"VROptions.DisableGUITimeoutSecs","","Auto-hide Delay"
"VROptions.DisableGUITimeoutSecs_TOOLTIP","","The amount of time before automatically hiding the interface"
"VROptions.OculusAimAngle","","Oculus Touch Aim Angle"
"VROptions.OculusAimAngle_TOOLTIP","","Set the controller aim angle in degrees"
"VROptions.ViveAimAngle","","HTC Vive Aim Angle"
"VROptions.ViveAimAngle_TOOLTIP","","Set the controller aim angle in degrees"
"PageBarycenter.TotalMass","","Total Mass"
"PageBarycenter.TotalVelocity","","Total Velocity"
"PageBasicParticle.Mass","","Mass"
"ProfilerProxy.DataGraph","","Simulation Profiling Graphs"
"ProfilerProxy.DataGraph_TOOLTIP","","Select from various profiling and analysis graphs for the current simulation"
"PageScreenshot.AspectW","","Aspect Ratio Width"
"PageScreenshot.AspectH","","Aspect Ratio Height"
"PageTimeControls.IsEnabled","","Enabled"
"PageTimeSettings.TimeZone","","Time Zone"
"PageVideoCapture.Resolution","","Resolution"
"PageVideoCapture.Resolution_TOOLTIP","","Pixel dimensions of captured GIFs"
"PageVideoCapture.GIFDesiredFPS","","Frames Per Second"
"PageVideoCapture.GIFDesiredFPS_TOOLTIP","","Number of frames in the GIF for every second of real time"
"UICanvasScaler.AutoScale","","Auto User Interface Scale"
"UICanvasScaler.AutoScale_TOOLTIP","","Automatically scale the user interface based on screen size"
